_id,link,website,request_time,request_date,request_datetime,flat_meta.price,flat_meta.surface,city,order,orga,run
ObjectID(58404ef879baba5e570290cc),www.immowelt.de/expose/2A5834D,immowelt,07:20:22,2016-06-25,2016-06-25T07:20:22Z,449,57.25,köln,ag,company,1
ObjectID(5840306d79baba5e570280fc),www.immobilienscout24.de/expose/89122458,immobilienscout,17:09:01,2016-06-28,2016-06-28T17:09:01Z,770,42.22,münchen,tgi,company,1
ObjectID(584ebc7bc980817b111fb7c3),www.immowelt.de/expose/2BA3C4C,immowelt,17:29:07,2016-09-16,2016-09-16T17:29:07Z,700,35,münchen,agt,private,2
ObjectID(584036a479baba5e5702886c),www.immobilienscout24.de/expose/89327302,immobilienscout,07:18:13,2016-07-12,2016-07-12T07:18:13Z,260,37,nürnberg,pi,company,1
ObjectID(5846b56a79baba5e5702a8c8),www.immobilienscout24.de/expose/90714184,immobilienscout,16:33:17,2016-10-12,2016-10-12T16:33:17Z,340,49.17,dresden,i,company,2
ObjectID(58402aa479baba5e57027890),www.immobilienscout24.de/expose/88890918,immobilienscout,18:49:54,2016-06-13,2016-06-13T18:49:54Z,358.39,57.16,dresden,tga,company,1
ObjectID(584030f379baba5e570281c4),www.immobilienscout24.de/expose/89131817,immobilienscout,17:19:30,2016-06-29,2016-06-29T17:19:30Z,144.4,34.38,magdeburg,tga,company,1
ObjectID(584ebd39c980817b111fb849),www.immowelt.de/expose/2BK684E,immowelt,07:21:27,2016-09-19,2016-09-19T07:21:27Z,440,48,berlin,tgp,company,2
ObjectID(584030fc79baba5e570281c6),www.immobilienscout24.de/expose/89116452,immobilienscout,17:18:50,2016-06-29,2016-06-29T17:18:50Z,550,47,köln,gp,private,1
ObjectID(58404f6779baba5e57029148),www.immowelt.de/expose/2ASYW4D,immowelt,07:51:46,2016-06-28,2016-06-28T07:51:46Z,293.76,40.8,magdeburg,gai,company,1
ObjectID(58469fe179baba5e5702a40e),www.immobilienscout24.de/expose/51229364,immobilienscout,07:27:04,2016-09-29,2016-09-29T07:27:04Z,340,45,dortmund,tpg,private,2
ObjectID(584ec240c980817b111fbbcb),www.immowelt.de/expose/2BR7Z4N,immowelt,07:25:18,2016-10-12,2016-10-12T07:25:18Z,293.57,33.06,berlin,gtp,company,2
ObjectID(5840533f79baba5e57029530),www.immowelt.de/expose/2AFPN4J,immowelt,17:11:47,2016-07-07,2016-07-07T17:11:47Z,540,54,hamburg,tgp,company,1
ObjectID(584ebca5c980817b111fb7d7),www.immowelt.de/expose/2BNKV4D,immowelt,07:24:56,2016-09-17,2016-09-17T07:24:56Z,450,33,berlin,gxtya,company,2
ObjectID(5840326b79baba5e57028356),www.immobilienscout24.de/expose/78214959,immobilienscout,17:10:11,2016-07-02,2016-07-02T17:10:11Z,402.19,54.35,berlin,tyxga,private,1
ObjectID(5846b37a79baba5e5702a660),www.immobilienscout24.de/expose/90556607,immobilienscout,17:23:14,2016-10-02,2016-10-02T17:23:14Z,310,31,leipzig,pig,company,2
ObjectID(58469c7079baba5e57029fc8),www.immobilienscout24.de/expose/90347280,immobilienscout,17:30:31,2016-09-19,2016-09-19T17:30:31Z,298.25,57.8,magdeburg,pig,company,2
ObjectID(5840311e79baba5e570281f6),www.immobilienscout24.de/expose/89149623,immobilienscout,07:54:26,2016-06-30,2016-06-30T07:54:26Z,361,58.13,dortmund,itg,company,1
ObjectID(58500166c980817b111fd17c),www.immobilienscout24.de/expose/90723082,immobilienscout,06:34:02,2016-10-13,2016-10-13T06:34:02Z,400,56.05,nürnberg,g,company,2
ObjectID(584ec0fec980817b111fbad2),www.immowelt.de/expose/2BYUS4K,immowelt,07:26:25,2016-10-03,2016-10-03T07:26:25Z,480,45,hamburg,pgi,private,2
